ID,base product,south dakota,short description,Notes
101,TEST ID: 17443,TEST ID: 17443,·Read JOBS,
102,TEST ID: 17788,TEST ID: 17788,·Read Comments,
103,TEST ID: 17789,TEST ID: 17789,·Create Comments,
104,TEST ID: 11938,TEST ID: 11938,·Create Courier Routes,
105,TEST ID: 11898,TEST ID: 11898,·Create Courier,
106,TEST ID: 11921,TEST ID: 11921,·Create Shipping Address,
107,TEST ID: 13061,TEST ID: 13061,·Create Routes,
108,TEST ID: 11892,TEST ID: 11892,·Create Warehouses,
109,TEST ID: 11961,TEST ID: 11961,·Create Line,
110,TEST ID: 15047,TEST ID: 15047,·Read Order Status,
111,TEST ID: 14946,TEST ID: 14946,·Create of New Order,
112,TEST ID: 15972,TEST ID: 15972,·Read the Pack search option for inventory details inquiry,
113,TEST ID: 14625,TEST ID: 14625,·Read the User searches for inventory by using one of selected search options,
114,TEST ID: 15273,TEST ID: 15273,·Create Privilege Group,
115,TEST ID: 13722,TEST ID: 13722,·Create Product,
116,TEST ID: 12833,TEST ID: 12833,·Read Validation Tier details of a Product,
117,TEST ID: 15301,TEST ID: 15301,·Create Settlement Classes,
118,TEST ID: 15254,TEST ID: 15254,·Create Suppressed Events,
119,TEST ID: 15347,TEST ID: 15347,·Create Threshold Classes,
120,TEST ID: 17682,TEST ID: 17682,·Create Scheduled Messages,
121,TEST ID: 17674,TEST ID: 17674,·Create Submitting the Scheduled Messages,
122,TEST ID: 15189,TEST ID: 15189,·Create Ticket Message,
123,TEST ID: 16397,TEST ID: 16397,·Read Pool Snapshot in Draw home tab,
124,TEST ID: 17678,TEST ID: 17678,·Create New Mail Message,
125,TEST ID: 17678,TEST ID: 17678,·Create New Mail Messages-Message is sent to All Terminal,
126,TEST ID: 17675,TEST ID: 17675,·Create new mail message - message send to Host,
127,TEST ID: 17676,TEST ID: 17676,·Create new mail message and send to Single terminal,
128,TEST ID: 17681,TEST ID: 17681,·Delete A Mail from Mail Messages List,
129,TEST ID: 16534,TEST ID: 16534,·Read Manage Reboot Configuration - Action Buttons,
130,TEST ID: 16918,TEST ID: 16918,·Read Product Control Accounting information,
131,TEST ID: 16921,TEST ID: 16921,·Read Distribution Product Control information,
132,TEST ID: 14813,TEST ID: 14813,·Read Product Control Page of a gaming product,
133,TEST ID: 16923,TEST ID: 16923,·Read Product Control information - GSRV,
134,TEST ID: 16914,TEST ID: 16914,·Read Product Control information - Inventory,
135,TEST ID: 16919,TEST ID: 16919,·Read Product Control information - ITVM,
136,TEST ID: 16982,TEST ID: 16982,·Read Product Control Page for Lotto America,
137,TEST ID: 16985,TEST ID: 16985,·Read Product Control Page for Mega Millions,
138,TEST ID: 16915,TEST ID: 16915,·Read Product Control information - MISC,
139,TEST ID: 16924,TEST ID: 16924,·Read Product Control information - MMDP,
140,TEST ID: 14904,TEST ID: 14904,·Read Product Control Page of a non gaming product,
141,TEST ID: 16984,TEST ID: 16984,·Read Product Control Page for Powerball,
142,TEST ID: 16913,TEST ID: 16913,·Read Product Control information - Promotions,
143,TEST ID: 16917,TEST ID: 16917,·Read Product Control information - USEC,
144,TEST ID: 16922,TEST ID: 16922,·Read Product Control information Validation,
145,TEST ID: 17298,TEST ID: 17298,·Read the Daily Sales page from Game Manager for Lotto game,
146,TEST ID: 17301,TEST ID: 17301,·Read the Daily Sales Page from Game Manager for Powerball game,
147,TEST ID: 14829,TEST ID: 14829,·Read Product Draw Sales For Lotto America,
148,TEST ID: 14749,TEST ID: 14749,·Read Product Draw Sales For a Game Product,
149,TEST ID: 14830,TEST ID: 14830,·Read Product Draw Sales For Megamillions,
150,TEST ID: 14833,TEST ID: 14833,·Read Product Draw Sales For Powerball,
151,TEST ID: 14769,TEST ID: 14769,·Read Product hourly Sales For a Game Product,
152,TEST ID: 14835,TEST ID: 14835,·Read Product hourly Sales For Lotto America,
153,TEST ID: 14838,TEST ID: 14838,·Read Product hourly Sales For MegaMillions,
154,TEST ID: 14837,TEST ID: 14837,·Read Product hourly Sales For Powerball,
155,TEST ID: 17396,TEST ID: 17396,·Read ESTE Progress Monitor,
156,TEST ID: 16269,TEST ID: 16269,·Read Existing QP Panel Configuration,
157,Test ID: 16386,Test ID: 16386,·Read System Control Page,
158,Test ID: 16384,Test ID: 16384,·Read System Control Action Buttons,
159,TEST ID: 14900,TEST ID: 14900,·Read File size Configuration on any game,
160,TEST ID: 16536,TEST ID: 16536,·Create Manage Reboot Configuration - Submit Updated Parameters,
161,TEST ID: 17306,TEST ID: 17306,·Read the Daily Sales Bar Graph,
162,TEST ID: 17307,TEST ID: 17307,·Read the Daily Sales Pie Graph,
163,TEST ID: 17276,TEST ID: 17276,·Read the Daily Sales page from reports for lotto game,
164,TEST ID: 17278,TEST ID: 17278,·Read the Daily Sales page from reports for Powerball game,
165,TEST ID: 17387,TEST ID: 17387,·Read the Page of  Over and Under from Game Manager,
166,TEST ID: 17386,TEST ID: 17386,·Read the Page of  Over and Under from Reports,
167,TEST ID: 17248,TEST ID: 17248,·Read Host Reports,
168,TEST ID: 17673,TEST ID: 17673,·Read Mail message list,
169,TEST ID: 16396,TEST ID: 16396,·Read User is able to view Mega millions pool snapshot page,
170,TEST ID: 17390,TEST ID: 17390,·Read Over and Under - Selection of Over,
171,TEST ID: 17388,TEST ID: 17388,·Read the Page of  Over and Under when selection Under,
172,TEST ID: 17389,TEST ID: 17389,·Read the Page of Over and Under when selection Under including 0,
173,TEST ID: 17367,TEST ID: 17367,·Read that user is able to navigate View Performance Snapshot Page For Lotto America game,
174,TEST ID: 17369,TEST ID: 17369,·Read that user is able to navigate View Performance Snapshot Page For Powerball game,
175,TEST ID: 17370,TEST ID: 17370,·Read that user is able to navigate View Performance Snapshot Page For Megamillions game,
176,TEST ID: 17431,TEST ID: 17431,·Read that user is able to navigate View Performance Snapshot Bar Graph,
177,TEST ID: 17352,TEST ID: 17352,·Read that user is able to navigate View Performance Snapshot Page For Lotto game,
178,TEST ID: 17354,TEST ID: 17354,·Read that user is able to navigate View Performance Snapshot Page For Powerball game,
179,TEST ID: 17355,TEST ID: 17355,·Read that user is able to navigate View Performance Snapshot Page For Megamillions game,
180,TEST ID: 17683,TEST ID: 17683,·Read Posted Mail messages list,
181,TEST ID: 17690,TEST ID: 17690,·Read Posted Mail messages list,
182,TEST ID: 17689,TEST ID: 17689,·Read Scheduled Mail Messages List,
183,TEST ID: 14113,TEST ID: 14113,"·Create Buy X, Get Y-Promo status Disabled",
184,TEST ID: 14112,TEST ID: 14112,·Create A Buy X Get Y Promotion - Promotion Status Is Enabled,
185,TEST ID: 14098,TEST ID: 14098,·Create Buy X Get Y Promotion - Promotion Status Is Committed,
186,TEST ID: 14706,TEST ID: 14706,·Create Coupon Promotion - Cash Prize,
187,TEST ID: 14701,TEST ID: 14701,·Create Coupon Promotion - Promotion Status Is Disabled,
188,TEST ID: 14703,TEST ID: 14703,·Create Coupon Promotion - Discount Prize,
189,TEST ID: 14700,TEST ID: 14700,·Create Coupon Promotion - Promotion Status Is Enabled,
190,TEST ID: 14704,TEST ID: 14704,·Create Coupon Promotion - Free Prize,
191,TEST ID: 14707,TEST ID: 14707,·Create Coupon Promotion - Second Chance Prize,
192,TEST ID: 14708,TEST ID: 14708,·Create Coupon Promotion - Voucher Prize,
193,TEST ID: 14699,TEST ID: 14699,·Create Coupon Promotion - Promotion Status Is Committed,
194,TEST ID: 14444,TEST ID: 14444,·Create Every Nth Promotion - Promotion Status Is Disabled,
195,TEST ID: 14443,TEST ID: 14443,·Create Every Nth Promotion - Promotion Status Is Enabled,
196,TEST ID: 14441,TEST ID: 14441,·Create Every Nth Promotion - Promotion Status Is Committed,
197,TEST ID: 14502,TEST ID: 14502,·Create N-Pack Promotion - Promotion Status Is Disabled,
198,TEST ID: 14501,TEST ID: 14501,·Create A N-Pack Promotion - Promotion Status Is Enabled,
199,TEST ID: 14500,TEST ID: 14500,·Create N-Pack Promotion - Promotion Status Is Committed,
200,TEST ID: 15867,TEST ID: 15867,·Create Adjustment Codes,
201,TEST ID: 15869,TEST ID: 15869,·Update Adjustment Codes,
202,TEST ID: 15868,TEST ID: 15868,·Read Adjustment Codes,
203,TEST ID: 15846,TEST ID: 15846,·Create Adjustment Types,
204,TEST ID: 17406,TEST ID: 17406,·Create User is able to change the ownership for Chain Sub-ordinate Retailer - Owner information = Mandatory,
205,TEST ID: 17407,TEST ID: 17407,·Create Chain Sub-Ordinate Retailer - Bill To Self - Owner Information ConfIguration = Not Required,
206,TEST ID: 17408,TEST ID: 17408,·Create Chain Sub-Ordinate Retailer - Bill To Chain - Owner Information ConfIguration = Not Required,
207,TEST ID: 17404,TEST ID: 17404,·Read that user able to change the ownership for Independent Retailer - Owner information = Mandatory,
208,TEST ID: 17405,TEST ID: 17405,·Create that user able to change the ownership for Independent Retailer - Owner information = Not Required,
209,TEST ID: 15489,TEST ID: 15489,·Create New Independent Retailer => Location Info Tab,
210,TEST ID: 12345,TEST ID: 12345,·Create New Independent Retailer => Business Details Tab,
211,TEST ID: 15365,TEST ID: 15365,·Create New Independent Retailer => Owners,
212,TEST ID: 15473,TEST ID: 15473,·Create New Independent Retailer => Location Contacts,
